Topic,Conclusion,Stance,Count
-1,Coronavirus protection should be advertised on TV and social media,in favor of,0
-1,Coronavirus protection should be advertised on TV and social media,against,1
-1,Council meetings should be open to the public and the press,in favor of,0
-1,Council meetings should be open to the public and the press,against,0
-1,Cryptocurrencies should be legalized,in favor of,1
-1,Cryptocurrencies should be legalized,against,1
-1,Devices with batteries should be designed so that batteries can be replaced,in favor of,0
-1,Devices with batteries should be designed so that batteries can be replaced,against,0
-1,Doctors should be paid based on how many people they successfully treated,in favor of,0
-1,Doctors should be paid based on how many people they successfully treated,against,0
-1,Donald Trump's Presidency was a good thing,in favor of,0
-1,Donald Trump's Presidency was a good thing,against,1
-1,Driverless cars should be allowed in India,in favor of,0
-1,Driverless cars should be allowed in India,against,0
-1,EU citizens should be allowed to direct vote for more decisions,in favor of,0
-1,EU citizens should be allowed to direct vote for more decisions,against,1
-1,EU countries should slightly reduce health insurance contributions for all citizens who do not use tobacco products,in favor of,0
-1,EU countries should slightly reduce health insurance contributions for all citizens who do not use tobacco products,against,0
-1,"EU institutions should prioritize the struggle against all forms of racism, also anti-Muslim bigotry, and antisemitism",in favor of,0
-1,"EU institutions should prioritize the struggle against all forms of racism, also anti-Muslim bigotry, and antisemitism",against,0
-1,EU needs an action plan against digital addiction,in favor of,0
-1,EU needs an action plan against digital addiction,against,0
-1,EU officials should be allowed to use the expression “Ladies and Gentlemen”,in favor of,0
-1,EU officials should be allowed to use the expression “Ladies and Gentlemen”,against,0
-1,Electric cars are not a solution to air pollution,in favor of,0
-1,Electric cars are not a solution to air pollution,against,0
-1,"Equal pay for equal work should apply as a principle in the country in which you work, regardless of where you come from",in favor of,0
-1,"Equal pay for equal work should apply as a principle in the country in which you work, regardless of where you come from",against,0
-1,Esperanto should be the common language for the European Union.,in favor of,0
-1,Esperanto should be the common language for the European Union.,against,0
-1,Esperanto should replace English as the first foreign language in schools and universities,in favor of,0
-1,Esperanto should replace English as the first foreign language in schools and universities,against,0
-1,"Europe is getting older and should be open to more migration from Asia, and southeast Asia.",in favor of,0
-1,"Europe is getting older and should be open to more migration from Asia, and southeast Asia.",against,0
-1,Europe must help Ukraine,in favor of,0
-1,Europe must help Ukraine,against,0
-1,Europe needs an energy partnership with Africa.,in favor of,0
-1,Europe needs an energy partnership with Africa.,against,0
-1,Europe should change the world for the better for everyone.,in favor of,0
-1,Europe should change the world for the better for everyone.,against,0
-1,Europe should establish a common Army across Europe,in favor of,0
-1,Europe should establish a common Army across Europe,against,0
-1,Europe should have stronger borders,in favor of,0
-1,Europe should have stronger borders,against,0
-1,Europe should protect bees,in favor of,0
-1,Europe should protect bees,against,0
-1,Europe should put a GreenTax on top of all imports from highly polluting countries,in favor of,0
-1,Europe should put a GreenTax on top of all imports from highly polluting countries,against,0
-1,Europe should stand together!,in favor of,0
-1,Europe should stand together!,against,0
-1,European Union should help young people to train in refugee countries,in favor of,0
-1,European Union should help young people to train in refugee countries,against,0
-1,European citizens want quality of life and are not interested in world supremacy,in favor of,0
-1,European citizens want quality of life and are not interested in world supremacy,against,0
-1,Every human has the right to receive reliable information about the movement and distribution of public funds,in favor of,1
-1,Every human has the right to receive reliable information about the movement and distribution of public funds,against,0
-1,Every young European should be asked to go live in another country for 1 year at least,in favor of,0
-1,Every young European should be asked to go live in another country for 1 year at least,against,0
-1,"Everyone should have equal access to affordable and high-quality public services, including health",in favor of,2
-1,"Everyone should have equal access to affordable and high-quality public services, including health",against,0
-1,Experimenting on Animals is fair,in favor of,0
-1,Experimenting on Animals is fair,against,2
-1,"Firecrackers should be banned during Diwali, other festivals, and weddings",in favor of,2
-1,"Firecrackers should be banned during Diwali, other festivals, and weddings",against,1
-1,Food health and industry companies should be located within the EU,in favor of,0
-1,Food health and industry companies should be located within the EU,against,0
-1,Food whose production has been subsidized with EU funds should not be allowed to be exported to developing countries.,in favor of,0
-1,Food whose production has been subsidized with EU funds should not be allowed to be exported to developing countries.,against,0
-1,"Foreign Policy at the EU level should be based on absolute majority, not unanimity",in favor of,0
-1,"Foreign Policy at the EU level should be based on absolute majority, not unanimity",against,0
-1,"Foreign Policy at the EU level should be based on an absolute majority, not unanimity",in favor of,0
-1,"Foreign Policy at the EU level should be based on an absolute majority, not unanimity",against,0
-1,"Foreign Policy at the EU level should be based on an absolute majority, not unanimity.",in favor of,0
-1,"Foreign Policy at the EU level should be based on an absolute majority, not unanimity.",against,0
-1,Frontex should regularly publish transparency reports,in favor of,0
-1,Frontex should regularly publish transparency reports,against,1
-1,Gas and nuclear power should be supported with money from European countries,in favor of,0
-1,Gas and nuclear power should be supported with money from European countries,against,0
-1,Germany should start paying reparations share for any damaged countries of Europe up to 100 years after its attack on international society,in favor of,0
-1,Germany should start paying reparations share for any damaged countries of Europe up to 100 years after its attack on international society,against,0
-1,Homeschooling should be encouraged in India,in favor of,0
-1,Homeschooling should be encouraged in India,against,0
-1,Humanitarian organizations should be financially responsible in relation to illegal immigration.,in favor of,0
-1,Humanitarian organizations should be financially responsible in relation to illegal immigration.,against,0
-1,IT recruiters should consider skills instead of a degree in programming,in favor of,0
-1,IT recruiters should consider skills instead of a degree in programming,against,0
-1,Ideology should be aimed at popularizing the best human qualities and stopping everything that is directed against a human,in favor of,2
-1,Ideology should be aimed at popularizing the best human qualities and stopping everything that is directed against a human,against,0
-1,Immigrants should integrate through work,in favor of,0
-1,Immigrants should integrate through work,against,0
-1,Immigrants should learn the language of their host country.,in favor of,0
-1,Immigrants should learn the language of their host country.,against,0
-1,Immigrants should receive help from the EU through integration programs,in favor of,0
-1,Immigrants should receive help from the EU through integration programs,against,0
-1,Imprisonment of foreign criminals should be carried out in their country,in favor of,0
-1,Imprisonment of foreign criminals should be carried out in their country,against,0
-1,India is becoming intolerant,in favor of,0
-1,India is becoming intolerant,against,0
-1,India should accept Rohingya refugees,in favor of,0
-1,India should accept Rohingya refugees,against,1
-1,India should have 'One Nation - One Election' policy,in favor of,0
-1,India should have 'One Nation - One Election' policy,against,0
-1,India should store the data within the territorial boundaries of the country,in favor of,0
-1,India should store the data within the territorial boundaries of the country,against,0
-1,Intensive livestock farming should disappear,in favor of,0
-1,Intensive livestock farming should disappear,against,0
-1,International cooperation with third countries in the field of migration should be developed,in favor of,0
-1,International cooperation with third countries in the field of migration should be developed,against,0
-1,Kids' reality shows should be banned,in favor of,0
-1,Kids' reality shows should be banned,against,0
-1,Marital Rape should be criminalized in India,in favor of,0
-1,Marital Rape should be criminalized in India,against,0
-1,Marital rape should be criminalized in India,in favor of,0
-1,Marital rape should be criminalized in India,against,0
-1,Men are silent sufferers in this modern world,in favor of,0
-1,Men are silent sufferers in this modern world,against,0
-1,Migrants should be housed in EU bureaucrats' neighborhoods,in favor of,0
-1,Migrants should be housed in EU bureaucrats' neighborhoods,against,0
-1,Migrants should not be used for political blackmail.,in favor of,0
-1,Migrants should not be used for political blackmail.,against,0
-1,Migration should not be the solution.,in favor of,0
-1,Migration should not be the solution.,against,0
-1,NEET exam should be banned,in favor of,0
-1,NEET exam should be banned,against,0
-1,NGO boats should have an government representative on board to make sure they aren't people trafficking,in favor of,0
-1,NGO boats should have an government representative on board to make sure they aren't people trafficking,against,0
-1,Nepotism exists in Bollywood,in favor of,0
-1,Nepotism exists in Bollywood,against,0
-1,News channels are breaking rules to give Breaking news,in favor of,0
-1,News channels are breaking rules to give Breaking news,against,0
-1,Norway and Iceland should be invited to the European Conference,in favor of,0
-1,Norway and Iceland should be invited to the European Conference,against,0
-1,Organ donation should be made compulsory,in favor of,0
-1,Organ donation should be made compulsory,against,0
-1,Pay-as-you-go public health insurance funds should only be used for the most serious illnesses,in favor of,0
-1,Pay-as-you-go public health insurance funds should only be used for the most serious illnesses,against,0
-1,People from radical Muslim countries should be banned from entering the EU countries,in favor of,0
-1,People from radical Muslim countries should be banned from entering the EU countries,against,1
-1,People with disabilities should be more represented,in favor of,0
-1,People with disabilities should be more represented,against,0
-1,Permanent non-EU nationals who are living in the European Union should have more rights.,in favor of,0
-1,Permanent non-EU nationals who are living in the European Union should have more rights.,against,0
-1,Political institutions should make fundamental changes in the way they address climate change and environmental protection,in favor of,0
-1,Political institutions should make fundamental changes in the way they address climate change and environmental protection,against,0
-1,Political parties should be brought under RTI (Right to Information) Act,in favor of,2
-1,Political parties should be brought under RTI (Right to Information) Act,against,1
-1,Primary Health Care (PHC) is an indispensable good for equitable and high-quality care in Europe and beyond,in favor of,0
-1,Primary Health Care (PHC) is an indispensable good for equitable and high-quality care in Europe and beyond,against,0
-1,Public transport in EU cities should be free,in favor of,0
-1,Public transport in EU cities should be free,against,0
-1,Rapists should be tortured,in favor of,0
-1,Rapists should be tortured,against,0
-1,Rural areas should become more attractive for life and work,in favor of,0
-1,Rural areas should become more attractive for life and work,against,0
-1,Serbia should join the EU.,in favor of,0
-1,Serbia should join the EU.,against,0
-1,Serious crimes should lead to rapid expulsion from the EU,in favor of,0
-1,Serious crimes should lead to rapid expulsion from the EU,against,0
-1,Social media is making us less social,in favor of,0
-1,Social media is making us less social,against,0
-1,"Solar and wind energies have harmful impacts on flying species, fauna and flora in general, and even insects",in favor of,0
-1,"Solar and wind energies have harmful impacts on flying species, fauna and flora in general, and even insects",against,0
-1,Stray animals should be killed,in favor of,1
-1,Stray animals should be killed,against,1
-1,Technology is making us feel less human,in favor of,0
-1,Technology is making us feel less human,against,0
-1,Technology is rising Unemployment rates,in favor of,2
-1,Technology is rising Unemployment rates,against,0
-1,The 19 June plenary meeting of the European Conference should mark a first step in the direction of a stronger and more united EU in the world,in favor of,0
-1,The 19 June plenary meeting of the European Conference should mark a first step in the direction of a stronger and more united EU in the world,against,0
-1,The 9th of May (Europe Day) should be a national holiday,in favor of,0
-1,The 9th of May (Europe Day) should be a national holiday,against,0
-1,The Commission should remove any mention of gender and other ideology from its research funds and calls.,in favor of,0
-1,The Commission should remove any mention of gender and other ideology from its research funds and calls.,against,0
-1,The Commission should take care of the administration of camps where migrants and asylum seekers are kept.,in favor of,0
-1,The Commission should take care of the administration of camps where migrants and asylum seekers are kept.,against,0
-1,The EPPO’s jurisdiction should be extended to all member states,in favor of,0
-1,The EPPO’s jurisdiction should be extended to all member states,against,2
-1,The EU government should encourage people to eat less meat,in favor of,0
-1,The EU government should encourage people to eat less meat,against,4
-1,The EU itself and its people should understand and accept there are a lot of Europeans outside the EU,in favor of,0
-1,The EU itself and its people should understand and accept there are a lot of Europeans outside the EU,against,0
-1,The EU itself and its people should understand and accept there are a lot of Europeans outside the EU. EU does not equal to Europe,in favor of,0
-1,The EU itself and its people should understand and accept there are a lot of Europeans outside the EU. EU does not equal to Europe,against,0
-1,"The EU leadership must enter into strong agreements with the countries where immigrants come from, in order to retain them in their countries",in favor of,0
-1,"The EU leadership must enter into strong agreements with the countries where immigrants come from, in order to retain them in their countries",against,0
-1,The EU must be confederal and not federal,in favor of,0
-1,The EU must be confederal and not federal,against,0
-1,"The EU must ensure continued progress toward gender equality, women’s rights, and reproductive freedom",in favor of,0
-1,"The EU must ensure continued progress toward gender equality, women’s rights, and reproductive freedom",against,0
-1,The EU must take the lead for the Middle East.,in favor of,0
-1,The EU must take the lead for the Middle East.,against,0
-1,The EU must use its weight as a united global player in trade policy and put an end to foreclosure,in favor of,0
-1,The EU must use its weight as a united global player in trade policy and put an end to foreclosure,against,0
-1,The EU needs a European research center,in favor of,0
-1,The EU needs a European research center,against,0
-1,The EU needs a free but correct press,in favor of,0
-1,The EU needs a free but correct press,against,0
-1,The EU needs a more rational Green Policy,in favor of,0
-1,The EU needs a more rational Green Policy,against,0
-1,The EU needs a reorientation of migration and asylum policy,in favor of,0
-1,The EU needs a reorientation of migration and asylum policy,against,0
-1,The EU needs a single market for news,in favor of,0
-1,The EU needs a single market for news,against,0
-1,The EU needs a wider definition of gender-based violence and an intersectional approach to end it,in favor of,0
-1,The EU needs a wider definition of gender-based violence and an intersectional approach to end it,against,0
-1,The EU needs human security approach to ensure peace.,in favor of,0
-1,The EU needs human security approach to ensure peace.,against,0
-1,The EU needs more effective policies to combat online hate speech,in favor of,2
-1,The EU needs more effective policies to combat online hate speech,against,1
-1,"The EU needs s common migration and asylum policy, based on respect for rights and equal treatment",in favor of,0
-1,"The EU needs s common migration and asylum policy, based on respect for rights and equal treatment",against,0
-1,The EU needs strong advertising and recruitment strategies for students and qualified employees,in favor of,0
-1,The EU needs strong advertising and recruitment strategies for students and qualified employees,against,0
-1,The EU needs tougher border protection,in favor of,0
-1,The EU needs tougher border protection,against,0
-1,The EU should adopt legislative measures aimed at increasing the percentage of women in the political sector,in favor of,0
-1,The EU should adopt legislative measures aimed at increasing the percentage of women in the political sector,against,0
-1,The EU should also guarantee territorial integrity against threats from Turkey and other Middle Eastern regional powers.,in favor of,0
-1,The EU should also guarantee territorial integrity against threats from Turkey and other Middle Eastern regional powers.,against,0
-1,The EU should be a permanent member of the UN Security Council,in favor of,0
-1,The EU should be a permanent member of the UN Security Council,against,0
-1,The EU should be a permanent member of the UN Security Council.,in favor of,0
-1,The EU should be a permanent member of the UN Security Council.,against,0
-1,The EU should be involved in the creation of a media-funding framework,in favor of,0
-1,The EU should be involved in the creation of a media-funding framework,against,0
-1,The EU should change its internal structure.,in favor of,0
-1,The EU should change its internal structure.,against,0
-1,The EU should conclude an agreement with the United Kingdom and create together a European pillar of NATO,in favor of,0
-1,The EU should conclude an agreement with the United Kingdom and create together a European pillar of NATO,against,0
-1,The EU should decide its role in a multipolar world,in favor of,0
-1,The EU should decide its role in a multipolar world,against,0
-1,The EU should develop a European Youth Platform for mental health,in favor of,1
-1,The EU should develop a European Youth Platform for mental health,against,0
-1,The EU should enforce minority protection,in favor of,0
-1,The EU should enforce minority protection,against,0
-1,The EU should enforce the obligation to respect the Rule of Law within its borders,in favor of,1
-1,The EU should enforce the obligation to respect the Rule of Law within its borders,against,0
-1,The EU should engage in development cooperation with the global South.,in favor of,0
-1,The EU should engage in development cooperation with the global South.,against,0
-1,"The EU should ensure a free, independent, and functioning judiciary in its Member States",in favor of,0
-1,"The EU should ensure a free, independent, and functioning judiciary in its Member States",against,0
-1,The EU should equalize the retirement age for all Europeans.,in favor of,0
-1,The EU should equalize the retirement age for all Europeans.,against,0
-1,The EU should establish a Carbon Border Adjustment Mechanism (CBAM),in favor of,0
-1,The EU should establish a Carbon Border Adjustment Mechanism (CBAM),against,0
-1,The EU should extend the model of Pooling & Sharing European military resources beyond air transport.,in favor of,1
-1,The EU should extend the model of Pooling & Sharing European military resources beyond air transport.,against,0
-1,"The EU should focus more on ensuring the success of the internal market, and on improving its competitiveness",in favor of,0
-1,"The EU should focus more on ensuring the success of the internal market, and on improving its competitiveness",against,0
-1,The EU should focus on pragmatism,in favor of,0
-1,The EU should focus on pragmatism,against,0
-1,The EU should have common taxation and social policy,in favor of,0
-1,The EU should have common taxation and social policy,against,0
-1,The EU should have open borders with poor countries,in favor of,0
-1,The EU should have open borders with poor countries,against,0
-1,The EU should immediately end the refugee deal with Turkey.,in favor of,0
-1,The EU should immediately end the refugee deal with Turkey.,against,0
-1,The EU should implement a common pension fund,in favor of,0
-1,The EU should implement a common pension fund,against,0
-1,The EU should improve public management and anti-corruption mechanisms,in favor of,0
-1,The EU should improve public management and anti-corruption mechanisms,against,0
-1,The EU should integrate the armed forces of its member states,in favor of,0
-1,The EU should integrate the armed forces of its member states,against,0
-1,The EU should join NATO,in favor of,0
-1,The EU should join NATO,against,0
-1,The EU should play a major role in a multipolar world,in favor of,0
-1,The EU should play a major role in a multipolar world,against,0
-1,"The EU should prohibit, and end funding for activities that presuppose the destruction of human embryos, in particular in the areas of research, development aid, and public health",in favor of,1
-1,"The EU should prohibit, and end funding for activities that presuppose the destruction of human embryos, in particular in the areas of research, development aid, and public health",against,0
-1,The EU should promote organizations that teach the national language via Esperanto,in favor of,0
-1,The EU should promote organizations that teach the national language via Esperanto,against,0
-1,The EU should put more pressure on the non-euro area member states to adopt the single currency,in favor of,0
-1,The EU should put more pressure on the non-euro area member states to adopt the single currency,against,0
-1,The EU should recognize Taiwan as an independent sovereign state,in favor of,0
-1,The EU should recognize Taiwan as an independent sovereign state,against,0
-1,The EU should reduce its influence on its member states.,in favor of,0
-1,The EU should reduce its influence on its member states.,against,0
-1,"The EU should set up physical offices, where citizens can address their concerns about Europe",in favor of,0
-1,"The EU should set up physical offices, where citizens can address their concerns about Europe",against,0
-1,The EU should start accession negotiations with Russia,in favor of,0
-1,The EU should start accession negotiations with Russia,against,0
-1,The EU should strengthen development cooperation.,in favor of,0
-1,The EU should strengthen development cooperation.,against,0
-1,The EU should strengthen its relationship with China.,in favor of,0
-1,The EU should strengthen its relationship with China.,against,0
-1,The EU should strengthen its ties with Ukraine and prepare an EU membership of Ukraine.,in favor of,0
-1,The EU should strengthen its ties with Ukraine and prepare an EU membership of Ukraine.,against,0
-1,The EU should strengthen its ties with Ukraine and prepare for EU membership of Ukraine.,in favor of,0
-1,The EU should strengthen its ties with Ukraine and prepare for EU membership of Ukraine.,against,0
-1,The EU should strengthen the integration of Ukraine through intensified cooperation,in favor of,0
-1,The EU should strengthen the integration of Ukraine through intensified cooperation,against,0
-1,The EU should support Ukraine.,in favor of,0
-1,The EU should support Ukraine.,against,0
-1,The EU should synchronize national elections,in favor of,0
-1,The EU should synchronize national elections,against,0
-1,The EU should take responsibility for global environmental and climate policy,in favor of,0
-1,The EU should take responsibility for global environmental and climate policy,against,0
-1,The EU should use promote institutions to improve the relationship between Eastern and Western Europe.,in favor of,0
-1,The EU should use promote institutions to improve the relationship between Eastern and Western Europe.,against,0
-1,The EU will dissolve within 10 years unless reformed,in favor of,0
-1,The EU will dissolve within 10 years unless reformed,against,0
-1,The European Parliament should be dissolved and replaced with a global government.,in favor of,0
-1,The European Parliament should be dissolved and replaced with a global government.,against,0
-1,"The European Parliament should have more powers, so Europe can stand against other world powers.",in favor of,0
-1,"The European Parliament should have more powers, so Europe can stand against other world powers.",against,0
-1,"The European Union has no other choice than to reject all immigration, except for workers they need.",in favor of,0
-1,"The European Union has no other choice than to reject all immigration, except for workers they need.",against,0
-1,The European Union needs to equip itself with the institutional and legal tools to resolve democratic conflicts on sovereignty within its own borders.,in favor of,0
-1,The European Union needs to equip itself with the institutional and legal tools to resolve democratic conflicts on sovereignty within its own borders.,against,0
-1,The European Union shall guarantee its territorial integrity against threats from Russia and shall seek to eliminate the influence of Russia in Central and Eastern Europe.,in favor of,0
-1,The European Union shall guarantee its territorial integrity against threats from Russia and shall seek to eliminate the influence of Russia in Central and Eastern Europe.,against,0
-1,"The European Union should be harder towards irreparable migrants, those who do not value their lives in peace, security, and prosperity.",in favor of,0
-1,"The European Union should be harder towards irreparable migrants, those who do not value their lives in peace, security, and prosperity.",against,0
-1,The European Union should enforce the energy transition in its member states,in favor of,0
-1,The European Union should enforce the energy transition in its member states,against,0
-1,The European Union should hold a referendum to decide on immigration,in favor of,0
-1,The European Union should hold a referendum to decide on immigration,against,0
-1,The European Union should implement a EU wide carbon tax,in favor of,1
-1,The European Union should implement a EU wide carbon tax,against,0
-1,The European Union should support and integrate immigrant people to ensure that they live with dignity and equality with all European citizens,in favor of,0
-1,The European Union should support and integrate immigrant people to ensure that they live with dignity and equality with all European citizens,against,0
-1,The European Union should visible on the facades of the embassies and consulates of European countries.,in favor of,0
-1,The European Union should visible on the facades of the embassies and consulates of European countries.,against,0
-1,The European Union's asylum system needs to implement its humanitarian principles,in favor of,1
-1,The European Union's asylum system needs to implement its humanitarian principles,against,0
-1,"The European Union, as a Union of values, should limit its support to countries that do not want to adhere to European values and violate the rights of their citizens",in favor of,0
-1,"The European Union, as a Union of values, should limit its support to countries that do not want to adhere to European values and violate the rights of their citizens",against,0
-1,The President of the European Commission should be directly elected by direct universal suffrage,in favor of,0
-1,The President of the European Commission should be directly elected by direct universal suffrage,against,0
-1,The Sabarimala verdict is progressive and not a threat to traditions,in favor of,0
-1,The Sabarimala verdict is progressive and not a threat to traditions,against,0
-1,The Western Balkans should join the EU immediately,in favor of,0
-1,The Western Balkans should join the EU immediately,against,0
-1,The best way to save the world from climate change and protect the environment is to encourage everyone to start with themselves and look at what things they can do to help with this problem,in favor of,0
-1,The best way to save the world from climate change and protect the environment is to encourage everyone to start with themselves and look at what things they can do to help with this problem,against,2
-1,The current differing legal cultures of the Member States need to be developed into a common legal culture in Europe,in favor of,0
-1,The current differing legal cultures of the Member States need to be developed into a common legal culture in Europe,against,0
-1,The demographic decline should be stopped.,in favor of,0
-1,The demographic decline should be stopped.,against,0
-1,The fear of migration is a fear of the unknown and is exacerbated.,in favor of,0
-1,The fear of migration is a fear of the unknown and is exacerbated.,against,0
-1,The federal features of the European Treaties need to be strengthened.,in favor of,0
-1,The federal features of the European Treaties need to be strengthened.,against,0
-1,The president of the European Commission should be elected by the people of the EU,in favor of,0
-1,The president of the European Commission should be elected by the people of the EU,against,0
-1,The world does not need religion anymore,in favor of,2
-1,The world does not need religion anymore,against,0
-1,There can be no real European democracy without the autonomous fiscal power of the EU.,in favor of,0
-1,There can be no real European democracy without the autonomous fiscal power of the EU.,against,0
-1,There is a lack of unity in European migration policies.,in favor of,0
-1,There is a lack of unity in European migration policies.,against,0
-1,There is a necessity for a European framework for the free movement of intensivists,in favor of,0
-1,There is a necessity for a European framework for the free movement of intensivists,against,0
-1,There should be 6 concrete proposals for migrants on the Balkan route.,in favor of,0
-1,There should be 6 concrete proposals for migrants on the Balkan route.,against,0
-1,There should be a European Army.,in favor of,0
-1,There should be a European Army.,against,0
-1,There should be a European Common Defence and Security Alliance,in favor of,0
-1,There should be a European Common Defence and Security Alliance,against,0
-1,There should be a ban on Bandhs,in favor of,3
-1,There should be a ban on Bandhs,against,0
-1,There should be a better post-Brexit European Alliance,in favor of,0
-1,There should be a better post-Brexit European Alliance,against,0
-1,There should be a common EU migration and asylum policy,in favor of,0
-1,There should be a common EU migration and asylum policy,against,0
-1,There should be a federal Constitution for a European Federation,in favor of,0
-1,There should be a federal Constitution for a European Federation,against,0
-1,There should be a new EU foreign policy.,in favor of,0
-1,There should be a new EU foreign policy.,against,0
-1,There should be a president for the EU elected by the people.,in favor of,0
-1,There should be a president for the EU elected by the people.,against,0
-1,There should be a reform of EU trade and investment policy and a relaunch of global multilateralism,in favor of,0
-1,There should be a reform of EU trade and investment policy and a relaunch of global multilateralism,against,0
-1,There should be a reform of EU trade and investment policy and a relaunch of global multilateralism.,in favor of,0
-1,There should be a reform of EU trade and investment policy and a relaunch of global multilateralism.,against,0
-1,There should be a single EU policy.,in favor of,0
-1,There should be a single EU policy.,against,0
-1,"There should be a small council of people from all over the world, and identify the problems of every country and solve them.",in favor of,0
-1,"There should be a small council of people from all over the world, and identify the problems of every country and solve them.",against,0
-1,There should be a stronger EU on the world scene,in favor of,0
-1,There should be a stronger EU on the world scene,against,0
-1,There should be a stronger partnership between the EU and the African Union,in favor of,0
-1,There should be a stronger partnership between the EU and the African Union,against,0
-1,There should be an EU citizenship,in favor of,0
-1,There should be an EU citizenship,against,0
-1,There should be an enlargement of the European Union.,in favor of,0
-1,There should be an enlargement of the European Union.,against,0
-1,There should be better EU relations with Russia,in favor of,0
-1,There should be better EU relations with Russia,against,0
-1,There should be centers of excellence in science and education,in favor of,0
-1,There should be centers of excellence in science and education,against,0
-1,There should be more unity and cooperation in Europe.,in favor of,0
-1,There should be more unity and cooperation in Europe.,against,0
-1,There should be no illegal migration,in favor of,0
-1,There should be no illegal migration,against,0
-1,There should be no illegal migration.,in favor of,0
-1,There should be no illegal migration.,against,0
-1,There should be no immigration from non-European or non-first-world countries,in favor of,0
-1,There should be no immigration from non-European or non-first-world countries,against,0
-1,There should be no immigration from non-European or non-first-world countries.,in favor of,0
-1,There should be no immigration from non-European or non-first-world countries.,against,0
-1,Toilet paper should be made of recycled paper only,in favor of,0
-1,Toilet paper should be made of recycled paper only,against,0
-1,Triple Talaq should be abolished,in favor of,0
-1,Triple Talaq should be abolished,against,1
-1,US-Mexico border wall is a good thing,in favor of,0
-1,US-Mexico border wall is a good thing,against,0
-1,Uniforms should be mandatory in schools,in favor of,0
-1,Uniforms should be mandatory in schools,against,0
-1,United in diversity should be a concept for reconciliation in the Western Balkans.,in favor of,0
-1,United in diversity should be a concept for reconciliation in the Western Balkans.,against,0
-1,Voting for European Parliament Elections should be mandatory,in favor of,0
-1,Voting for European Parliament Elections should be mandatory,against,0
-1,We can rely on Cryptocurrencies like Bitcoins,in favor of,0
-1,We can rely on Cryptocurrencies like Bitcoins,against,1
-1,We do not need any immigration from non-European or non-first-world countries,in favor of,0
-1,We do not need any immigration from non-European or non-first-world countries,against,0
-1,We do not need immigration from non-European or non-first-world countries,in favor of,0
-1,We do not need immigration from non-European or non-first-world countries,against,0
-1,We do not need immigration from non-European or non-first-world countries.,in favor of,0
-1,We do not need immigration from non-European or non-first-world countries.,against,0
-1,We do not want illegal migration.,in favor of,0
-1,We do not want illegal migration.,against,0
-1,We do not want immigration from non-European or non-first-world countries,in favor of,0
-1,We do not want immigration from non-European or non-first-world countries,against,0
-1,We don't need immigration from non-European or non-first-world countries.,in favor of,0
-1,We don't need immigration from non-European or non-first-world countries.,against,0
-1,We need Integrated migration and border policy.,in favor of,0
-1,We need Integrated migration and border policy.,against,0
-1,We need a Europe that respects life from conception is a humane Europe,in favor of,1
-1,We need a Europe that respects life from conception is a humane Europe,against,0
-1,We need a European Clinical Registries Platform,in favor of,0
-1,We need a European Clinical Registries Platform,against,0
