Conclusion,count
We need an inclusive language for all citizens of the world: the Esperanto.,6
Asylum seekers should only be able to file asylum applications from their home or neighboring country.,6
The EU government should encourage people to eat less meat,6
There should be no illegal migration,6
We should stop using cash,6
We should adapt the viable pay incentive scheme,6
We should subsidize hydrogen vehicles,6
We should forbid neo-banks,6
Artificial intelligence brings more harm than good,5
All countries should take responsibility for accepting refugees,5
We should subsidize higher education institutions,5
We should have psychological counseling in educational institutions,5
The European Union should implement a EU wide carbon tax,5
"We need integrated rail transport systems, agreements between various railway operators and a simple and accessible search engine",5
"The EU should prohibit, and end funding for activities that presuppose the destruction of human embryos, in particular in the areas of research, development aid, and public health",5
College education should be free for everyone,5
"Firecrackers should be banned during Diwali, other festivals, and weddings",5
The EU should adopt legislative measures aimed at increasing the percentage of women in the political sector,5
The European Union's asylum system needs to implement its humanitarian principles,5
British people who are residents in an EU country should have EU-wide rights,5
People with disabilities should be more represented ,5
NEET exam should be banned,5
5G services should be available across India,4
Triple Talaq should be abolished,4
India should have 'One Nation - One Election' policy ,4
We need a better EU migration policy.,4
The EU needs more effective policies to combat online hate speech,4
The EPPO’s jurisdiction should be extended to all member states,4
Migrants should not be used for political blackmail.,4
We need Integrated migration and border policy.,4
The fear of migration is a fear of the unknown and is exacerbated.,4
Electric cars are not a solution to air pollution,4
We need an inclusive and pluralistic European society.,4
We do not need immigration from non-European or non-first-world countries ,4
We need an inclusive and pluralistic European society,4
There should be no illegal migration.,4
The EU should synchronize national elections ,4
The President of the European Commission should be directly elected by direct universal suffrage,4
"The European Union has no other choice than to reject all immigration, except for workers they need.",4
Migration should not be the solution.,4
Every young European should be asked to go live in another country for 1 year at least,4
We need a better migration policy.,4
We need better ways of migration.,4
"The European Union should be harder towards irreparable migrants, those who do not value their lives in peace, security, and prosperity.",4
Organ donation should be made compulsory,3
A coordination hub should be set up with representatives of institutions that can act to facilitate the integration of refugees,3
Intensive livestock farming should disappear,3
The best way to save the world from climate change and protect the environment is to encourage everyone to start with themselves and look at what things they can do to help with this problem,3
Serious crimes should lead to rapid expulsion from the EU,3
The EU should have open borders with poor countries,3
The EU needs strong advertising and recruitment strategies for students and qualified employees,3
Rapists should be tortured,3
We should ban kids' reality shows,3
"The EU should focus more on ensuring the success of the internal market, and on improving its competitiveness",3
Censorship of movies is an outdated concept,3
There should be a ban on Bandhs,3
Nepotism exists in Bollywood,3
We need a Europe that respects life from conception is a humane Europe,3
Marital Rape should be criminalized in India,3
The Sabarimala verdict is progressive and not a threat to traditions,3
US-Mexico border wall is a good thing,3
Driverless cars should be allowed in India,3
Beauty pageants should be banned,3
WikiLeaks is not a bane,3
Chinese products should be banned in India,3
Council meetings should be open to the public and the press,3
The EU should focus on pragmatism,3
Public transport in EU cities should be free,3
The EU needs a European research center,3
"We need to move towards drug reform, which will change our outdated drug policy.",3
The EU needs a free but correct press,3
Marital rape should be criminalized in India,3
Kids' reality shows should be banned,3
"Foreign Policy at the EU level should be based on an absolute majority, not unanimity",3
Esperanto should replace English as the first foreign language in schools and universities,3
Food whose production has been subsidized with EU funds should not be allowed to be exported to developing countries.,3
There should be a stronger EU on the world scene,3
The EU should recognize Taiwan as an independent sovereign state,3
There should be a stronger partnership between the EU and the African Union,3
The EU itself and its people should understand and accept there are a lot of Europeans outside the EU. EU does not equal to Europe,3
The world does not need religion anymore,3
" Foreign Policy at the EU level should be based on an absolute majority, not unanimity.",3
We need a combined education and migration policy for Africa and the Middle East.,2
The EU should equalize the retirement age for all Europeans. ,2
We do not want illegal migration.,2
Gas and nuclear power should be supported with money from European countries,2
"Businesses should buy unused emissions by reforesting, restoration, or conservation of habitats sequestrating carbon",2
We need a better EU migration policy ,2
We do not need any immigration from non-European or non-first-world countries ,2
Stray animals should be killed,2
Experimenting on Animals is fair,2
We need family and child protection against political agendas until their adulthood,2
The EU should support Ukraine.,2
We need a stand-alone European army.,2
The EU should be a permanent member of the UN Security Council,2
India is becoming intolerant,2
Rural areas should become more attractive for life and work,2
Uniforms should be mandatory in schools,2
The EU needs a more rational Green Policy,2
Men are silent sufferers in this modern world,2
The EU should enforce minority protection,2
Cryptocurrencies should be legalized,2
We can rely on Cryptocurrencies like Bitcoins,2
We should ban alcohol in India,2
Donald Trump's Presidency was a good thing,2
Technology is rising Unemployment rates,2
We do not want immigration from non-European or non-first-world countries ,2
The EU should improve public management and anti-corruption mechanisms,2
The EU should implement a common pension fund,2
We need a better distribution of refugees.,2
There should be 6 concrete proposals for migrants on the Balkan route.,2
Devices with batteries should be designed so that batteries can be replaced,2
Europe should have stronger borders,2
"Equal pay for equal work should apply as a principle in the country in which you work, regardless of where you come from",2
We need an immediate cessation of all immigration.,2
Permanent non-EU nationals who are living in the European Union should have more rights.,2
We need stricter and homogeneous environmental legislation across the EU,2
Europe should protect bees,2
Cohesion funds should be provided directly to cities and regions,2
We need a revision of the current asylum policy in the European Union.,2
There should be no immigration from non-European or non-first-world countries. ,2
Immigrants should learn the language of their host country.,2
The Commission should take care of the administration of camps where migrants and asylum seekers are kept.,2
We need to develop partnership between the EU and the AU (African Union),2
 The EU should play a major role in a multipolar world,2
Migrants should be housed in EU bureaucrats' neighborhoods,2
The EU should extend the model of Pooling & Sharing European military resources beyond air transport.,2
"Europe is getting older and should be open to more migration from Asia, and southeast Asia.  ",2
Aadhaar should be made mandatory in India,2
Companies should pay for the environmental damage cause by their products,2
We need an integrated migration and border policy.,2
Ideology should be aimed at popularizing the best human qualities and stopping everything that is directed against a human,2
Imprisonment of foreign criminals should be carried out in their country,2
The Western Balkans should join the EU immediately ,2
The EU should be a permanent member of the UN Security Council.,2
Women are better managers than men,2
Betting and gambling should be legalized in India,2
The EU should change its internal structure.,2
The EU needs a single market for news,2
Homeschooling should be encouraged in India ,2
"Everyone should have equal access to affordable and high-quality public services, including health",2
Food health and industry companies should be located within the EU,2
There is a necessity for a European framework for the free movement of intensivists ,2
The federal features of the European Treaties need to be strengthened.,2
News channels are breaking rules to give Breaking news,2
We need to change the immigration policy to prevent illegal crossing,1
We need to develop a partnership between the EU and the AU (African Union),1
Political institutions should make fundamental changes in the way they address climate change and environmental protection,1
The EU should take responsibility for global environmental and climate policy,1
Biogas plants should be assessed on the basis of their efficiency,1
The European Union should enforce the energy transition in its member states,1
The EU should promote organizations that teach the national language via Esperanto,1
There should be an EU citizenship,1
"There should be a small council of people from all over the world, and identify the problems of every country and solve them.",1
There should be an enlargement of the European Union.,1
 The European Union shall guarantee its territorial integrity against threats from Russia and shall seek to eliminate the influence of Russia in Central and Eastern Europe.,1
Frontex should regularly publish transparency reports,1
Immigrants should integrate through work,1
International cooperation with third countries in the field of migration should be developed,1
NGO boats should have an government representative on board to make sure they aren't people trafficking,1
People from radical Muslim countries should be banned from entering the EU countries,1
The Commission should remove any mention of gender and other ideology from its research funds and calls.,1
"The EU leadership must enter into strong agreements with the countries where immigrants come from, in order to retain them in their countries",1
There should be a reform of EU trade and investment policy and a relaunch of global multilateralism.,1
Norway and Iceland should be invited to the European Conference,1
There should be a new EU foreign policy.,1
The EU should decide its role in a multipolar world,1
We need a plan for receiving asylum/migrants.,1
There should be a European Army.,1
The EU needs human security approach to ensure peace.,1
"Foreign Policy at the EU level should be based on an absolute majority, not unanimity.",1
The EU needs a reorientation of migration and asylum policy,1
The EU should have common taxation and social policy,1
Toilet paper should be made of recycled paper only,1
"Solar and wind energies have harmful impacts on flying species, fauna and flora in general, and even insects",1
Climate neutrality can be achieved only by nuclear energy,1
The EU should establish a Carbon Border Adjustment Mechanism (CBAM),1
Europe should put a GreenTax on top of all imports from highly polluting countries,1
"The EU needs s common migration and asylum policy, based on respect for rights and equal treatment",1
We need to invest in nuclear energy,1
We need see nuclear energy as green energy,1
The European Union should hold a referendum to decide on immigration,1
European Union should help young people to train in refugee countries,1
The EU should strengthen its ties with Ukraine and prepare for EU membership of Ukraine.,1
The EU will dissolve within 10 years unless reformed,1
The EU should develop a European Youth Platform for mental health,1
We need to strengthen the participation of citizens in the design and processes of the EU,1
We need a common EU TV channel free of charge for people in all Member States,1
The EU should be involved in the creation of a media-funding framework,1
Voting for European Parliament Elections should be mandatory,1
EU needs an action plan against digital addiction ,1
EU citizens should be allowed to direct vote for more decisions,1
The EU should put more pressure on the non-euro area member states to adopt the single currency,1
The EU must be confederal and not federal,1
There can be no real European democracy without the autonomous fiscal power of the EU.,1
The EU needs a wider definition of gender-based violence and an intersectional approach to end it,1
"EU institutions should prioritize the struggle against all forms of racism, also anti-Muslim bigotry, and antisemitism",1
Every human has the right to receive reliable information about the movement and distribution of public funds,1
"The European Union, as a Union of values, should limit its support to countries that do not want to adhere to European values and violate the rights of their citizens",1
The current differing legal cultures of the Member States need to be developed into a common legal culture in Europe,1
"The EU should ensure a free, independent, and functioning judiciary in its Member States",1
EU officials should be allowed to use the expression “Ladies and Gentlemen”,1
EU countries should slightly reduce health insurance contributions for all citizens who do not use tobacco products ,1
Doctors should be paid based on how many people they successfully treated,1
Pay-as-you-go public health insurance funds should only be used for the most serious illnesses,1
Primary Health Care (PHC) is an indispensable good for equitable and high-quality care in Europe and beyond,1
We need a European Clinical Registries Platform,1
Alternative medicine should be more accepted,1
"We need to move towards drug reform, which will change our outdated drug policy. ",1
Coronavirus protection should be advertised on TV and social media,1
Germany should start paying reparations share for any damaged countries of Europe up to 100 years after its attack on international society,1
"The EU should set up physical offices, where citizens can address their concerns about Europe",1
Catalan should be an official language of the European Parliament,1
European citizens want quality of life and are not interested in world supremacy,1
There is a lack of unity in European migration policies.,1
The EU should join NATO,1
There should be a European Common Defence and Security Alliance,1
The EU should conclude an agreement with the United Kingdom and create together a European pillar of NATO,1
Europe should establish a common Army across Europe,1
Europe must help Ukraine,1
There should be a common EU migration and asylum policy,1
The EU needs tougher border protection,1
The EU must use its weight as a united global player in trade policy and put an end to foreclosure,1
The EU should strengthen development cooperation.,1
There should be a federal Constitution for a European Federation,1
There should be a federal Constitution for a European Federation ,1
"The EU must ensure continued progress toward gender equality, women’s rights, and reproductive freedom",1
United in diversity should be a concept for reconciliation in the Western Balkans.,1
There should be more unity and cooperation in Europe.,1
The EU should use promote institutions to improve the relationship between Eastern and Western Europe.,1
The demographic decline should be stopped.,1
The EU itself and its people should understand and accept there are a lot of Europeans outside the EU,1
The 9th of May (Europe Day) should be a national holiday,1
"The European Parliament should have more powers, so Europe can stand against other world powers.",1
The European Parliament should be dissolved and replaced with a global government.,1
There should be a better post-Brexit European Alliance,1
Europe should change the world for the better for everyone.,1
The 19 June plenary meeting of the European Conference should mark a first step in the direction of a stronger and more united EU in the world,1
"Foreign Policy at the EU level should be based on absolute majority, not unanimity",1
There should be a single EU policy. ,1
The EU should start accession negotiations with Russia,1
The EU must take the lead for the Middle East.,1
The EU should strengthen the integration of Ukraine through intensified cooperation,1
Esperanto should be the common language for the European Union.,1
There should be better EU relations with Russia,1
The EU should engage in development cooperation with the global South.,1
There should be centers of excellence in science and education,1
We need to build up European Defence while remaining in NATO,1
The EU should strengthen its relationship with China.,1
The EU should strengthen its ties with Ukraine and prepare an EU membership of Ukraine.,1
We need a European democratizing force to help countries with democracy.,1
There should be a president for the EU elected by the people.,1
Europe should stand together!,1
The EU should reduce its influence on its member states.,1
" Foreign Policy at the EU level should be based on absolute majority, not unanimity",1
Europe needs an energy partnership with Africa.,1
The EU should also guarantee territorial integrity against threats from Turkey and other Middle Eastern regional powers.,1
The European Union should visible on the facades of the embassies and consulates of European countries.,1
Serbia should join the EU.,1
