,Topic,Count,Name,Representation,Representative_Docs
26,25,74,25_parades_pride_gay_celebrate,"['parades', 'pride', 'gay', 'celebrate', 'parade', 'lgbt', 'community', 'are', 'sexuality', 'support']","[""we don't have heterosexual pride day parades, so why should we have pride parades"", 'to support gay people then we should allow pride parades', 'pride parades can be a dangerous place']"
27,26,65,26_judicial_activism_limited_judges,"['judicial', 'activism', 'limited', 'judges', 'law', 'justice', 'laws', 'limit', 'personal', 'check']","['judicial activism must be supported by all means because judges  knows law and they acting inside the law by judicial activism.', 'judicial activism is an important part of our country.', 'judicial activism can skew the law and make it unfair so we should limit judicial activism.']"
28,27,65,27_whaling_whales_whale_species,"['whaling', 'whales', 'whale', 'species', 'inhumane', 'extinction', 'cruel', 'ban', 'banned', 'extinct']","['whaling is barbaric and cruel to whales and should therefore be banned', 'we should ban whaling because it is inhumane and because whales are becoming extinct.', 'we should ban whaling because it is leading to the extinction of whales']"
29,28,65,28_trading_algorithmic_unfair_market,"['trading', 'algorithmic', 'unfair', 'market', 'traders', 'computers', 'advantage', 'orders', 'accurate', 'more']","['algorithmic trading provides people with more opportunities when it comes to trading.', 'algorithmic trading has increased trading which is good for the economy', 'algorithmic trading is unfair to the market']"
30,29,64,29_three_strikes_laws_law,"['three', 'strikes', 'laws', 'law', 'crimes', 'strike', 'crime', 'criminals', 'offenders', 'prison']","['the three strikes law make it hard for those criminals who are trying to reform.', 'the three-strikes law is unfair to  those criminals who are trying to reform themselves.', 'The three-strikes law is a deterrent against crime.']"
31,30,64,30_wikipedia_information_subsidize_subsidized,"['wikipedia', 'information', 'subsidize', 'subsidized', 'source', 'subsidizing', 'subsidy', 'articles', 'site', 'it']","['subsidizing wikipedia can cause it to provide biased information', 'wikipedia has no source of funding and subsidizing it will let it keep providing information', 'wikipedia provides so much information to the world that it is time we subsidize it.']"
32,31,62,31_safe_spaces_place_feel,"['safe', 'spaces', 'place', 'feel', 'where', 'places', 'they', 'safety', 'from', 'are']","['safe spaces are an illusion, no place is safe.', 'safe spaces are necessary to have a place of safety for all', 'safe spaces help protect all people.']"
33,32,60,32_surgery_cosmetic_esteem_self,"['surgery', 'cosmetic', 'esteem', 'self', 'surgeries', 'can', 'plastic', 'risks', 'patient', 'people']","['cosmetic surgery is unnecessary and dangerous.', 'cosmetic surgery can help people with self esteem issues', 'cosmetic surgery helps many people with their self esteem.']"
34,33,54,33_factory_farming_animals_farms,"['factory', 'farming', 'animals', 'farms', 'cruel', 'food', 'banned', 'ban', 'conditions', 'treats']","['factory farming is bad for the environment and should be banned', 'we should ban factory farming as its cruel and inhumane to animals', 'factory farming is not good for the environment']"
35,34,52,34_farming_factory_meat_food,"['farming', 'factory', 'meat', 'food', 'efficient', 'production', 'agriculture', 'feed', 'subsidies', 'way']","['factory farming is the only way to meet the high demand for meat.', 'factory farming is an efficient way to produce cheap food for the masses.', 'factory farming is a great way to get more food for everyone']"
36,35,52,35_military_private_companies_provide,"['military', 'private', 'companies', 'provide', 'security', 'company', 'national', 'are', 'service', 'soldiers']","['private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.', 'private military companies can be useful to countries who do not have their own military.', 'private military companies are needed to provide security when the military can not do the job']"
37,36,47,36_vote_voting_forced_right,"['vote', 'voting', 'forced', 'right', 'compulsory', 'people', 'democratic', 'choice', 'choose', 'not']","['why should anyone be forced to vote?it is their right to vote or not to vote as they see fit.it is not a democratic system to force people to do this.', 'this is a free country and citizens should have the right to vote or not to vote.', 'people should have the right to not vote.']"
38,37,47,37_voting_compulsory_voter_turnout,"['voting', 'compulsory', 'voter', 'turnout', 'vote', 'would', 'representative', 'election', 'voice', 'elections']","['voting is so important. voter turnout would be much higher if compulsory voting was introduced.', 'compulsory voting would increase voter turnout', 'compulsory voting would ensure that voting is fair and equal']"
39,38,44,38_scientology_church_cult_religion,"['scientology', 'church', 'cult', 'religion', 'ban', 'banned', 'should', 'members', 'whatever', 'of']","['The Church of Scientology is a cult and should be banned.', 'the church of scientology is a cult and it should be banned.', 'the church of scientology should be banned as it is a cult not a religion']"
40,39,42,39_targeted_killing_murder_ban,"['targeted', 'killing', 'murder', 'ban', 'banned', 'should', 'trial', 'killings', 'government', 'because']","['targeted killing is the same thing as murder and should be banned', 'targeted killing is inhumane and should be banned.', 'We should ban targeted killing as it just legalized murder and should not be allowed.']"
41,40,42,40_libertarianism_adopt_would_government,"['libertarianism', 'adopt', 'would', 'government', 'adopted', 'we', 'chaos', 'because', 'should', 'anarchy']","['we should adopt libertarianism because it would mean more freedom for citizens from their government.', 'we should not adopt libertarianism because the government would have too much control over people', 'we should adopt libertarianism because it helps many people']"
42,41,41,41_fast_food_ban_unhealthy,"['fast', 'food', 'ban', 'unhealthy', 'obesity', 'banned', 'health', 'banning', 'cheap', 'because']","['fast food is bad for our health and we really should ban any of it', 'we should not ban fast food because they are part of the economy', ""fast food is bad for one's health and should be banned""]"
43,42,38,42_missionary_work_missionaries_religion,"['missionary', 'work', 'missionaries', 'religion', 'culture', 'convert', 'often', 'dangerous', 'bribe', 'disrupts']","['missionary work can be dangerous to workers.', 'missionary work in other countries can prove to be dangerous to the missionaries and their families.', 'missionary work is dangerous and not necessary']"
44,43,38,43_libertarianism_freedom_society_government,"['libertarianism', 'freedom', 'society', 'government', 'tyranny', 'libertarian', 'libertarians', 'promotes', 'big', 'expression']","['libertarianism is the maximum expression of freedom. the state should not be the one who decrees the way of life of citizens. libertarianism brings human, professional and economic growth', 'libertarianism is the ultimate expression of freedom.', 'libertarianism promotes freedom and liberty in the more fair form for all. the foundation of our country is built on these ideas. there is more equality and freedom through libertarianism.']"
45,44,38,44_telemarketing_annoying_nuisance_calls,"['telemarketing', 'annoying', 'nuisance', 'calls', 'telemarketers', 'intrusive', 'call', 'privacy', 'calling', 'scams']","[""telemarketing is harassment. people who did not consent to contact are bombarded by calls from strangers. it's long past time to do away with telemarketing."", 'telemarketing is violative and intrusive. unwanted calls from telemarketers are too much annoying', 'telemarketing is intrusive, annoying and violates privacy']"
46,45,37,45_games_olympic_competition_athletes,"['games', 'olympic', 'competition', 'athletes', 'world', 'friendly', 'together', 'countries', 'olympics', 'sports']","['the olympic games brings together the world in a peaceful environment', 'The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.', 'the olympic games encourage sports all around the world']"
47,46,36,46_animals_zoos_habitat_wild,"['animals', 'zoos', 'habitat', 'wild', 'live', 'cages', 'entertainment', 'zoo', 'natural', 'unnatural']","['it is inhumane to keep animals in cages for our entertainment. they need to be in their natural habitat in order to thrive instead of zoos.', 'zoos are bad for wild animals that need to live free', 'zoos keeping animals in cages while all animals should be free and to live in nature.']"
48,47,35,47_zoos_animals_species_endangered,"['zoos', 'animals', 'species', 'endangered', 'extinction', 'extinct', 'conservation', 'breeding', 'protect', 'wild']","['zoos help conservation efforts and prevent extinction of animals in the wild. many zoos have a complex breeding network in place to specifically add to wild populations of animals outside of zoos.', 'zoos make it possible to protect endangered animals from extinction', 'zoos help to protect endangered animals.']"
49,48,33,48_military_companies_private_ban,"['military', 'companies', 'private', 'ban', 'banned', 'operations', 'should', 'they', 'national', 'pmcs']","['private military companies are only in the business for profit and not for the ""best"" for our country in it\'s interests and private military companies should be banned.', 'private military companies should be banned as they are not subject to military laws', 'we should not ban private military companies because they protect people']"
50,49,33,49_targeted_killing_casualties_target,"['targeted', 'killing', 'casualties', 'target', 'war', 'allows', 'remove', 'harm', 'threats', 'terrorists']","['targeted killing is often the only way to get to the enemy.', 'targeted killing can help remove terrorist and other similar threats without having to involve large numbers of people. targeted killing can reduce casualties and provide a better outcome than all out war.', 'by using targeted killing the government can potentially save hundreds of lives, for example if a terrorist is targeted.']"
51,50,33,50_religion_freedom_follow_choose,"['religion', 'freedom', 'follow', 'choose', 'religious', 'whatever', 'beliefs', 'right', 'matter', 'religions']","['people are free to follow the religion they choose, no matter how out there the beliefs are.', 'everyone has a right to chose a religion to follow, no matter what their beliefs & practices are, it is wrong to ban a religion', 'freedom to choose a religion is a human right']"
52,51,33,51_stem_embryonic_research_cell,"['stem', 'embryonic', 'research', 'cell', 'cells', 'cures', 'diseases', 'treatments', 'save', 'potential']","['embryonic stem cell research helps save and improve lives.', 'embryonic stem cell research will help save lives and is very important.', 'embryonic stem cell research  can lead to new cures for diseases.']"
53,52,32,52_cosmetic_surgery_banned_ban,"['cosmetic', 'surgery', 'banned', 'ban', 'banning', 'look', 'should', 'it', 'vanity', 'doctor']","[""we should not ban cosmetic surgery people some people don't like how they look and it's their money if they want to change that"", 'We should not ban cosmetic surgery as people should be allowed to do what they want with their bodies.', 'cosmetic surgery is dangerous and should be banned.']"
54,53,31,53_fast_food_obesity_unhealthy,"['fast', 'food', 'obesity', 'unhealthy', 'ingredients', 'leading', 'eating', 'health', 'calories', 'causes']","['fast food is high fat and unhealthy food', 'fast food is one of the leading causes of obesity.', 'fast food is unhealthy and causes obesity']"
55,54,31,54_refugees_countries_refugee_accepting,"['refugees', 'countries', 'refugee', 'accepting', 'camps', 'rohingya', 'arab', 'returned', 'home', 'forcibly']","['Allowing refugees is a potential security threat to any country. Refugees can be an easy prey to terrorists. They may take advantage of the situation and may carry out illegal activities using refugees.', 'A weak global response is worsening the situation of refugees. The international community should help in rebuilding the war-torn countries, where refugees are coming from, so that safe and dignified returns are possible for refugees. Refugees should not be forcibly sent to their home countries.', 'At present, many countries are refusing refugees stating that they pose an economic or security threat. Only a few countries including Lebanon, Jordan, Turkey, and Liberia are accepting most of the refugees. Some host countries are forcibly sending refugees back to their home countries stating that such as the situation in their home countries is safe. Many refugees who were sent like this went through brutal violence and some people even disappeared.']"
56,55,30,55_arms_bear_right_keep,"['arms', 'bear', 'right', 'keep', 'constitutional', 'protect', 'and', 'families', 'enshrined', 'bedrock']","['The right to keep and bear arms is a constitutional right and should never be abolished as it allows personal protection', 'everyone should have the right to keep and bear arms for protection', 'the right to bear arms is a constitutional right for all citizens.']"
57,56,30,56_telemarketing_products_businesses_marketing,"['telemarketing', 'products', 'businesses', 'marketing', 'useful', 'aware', 'services', 'sales', 'reach', 'tool']","['telemarketing is a useful marketing tool for companies to gain new customers.', 'some telemarketing is beneficial as it may be selling useful products or services.', 'telemarketing provides jobs, and people should be allowed to use telemarketing to earn a living.']"
58,57,30,57_cloning_human_banned_ban,"['cloning', 'human', 'banned', 'ban', 'should', 'science', 'advancements', 'because', 'medical', 'designer']","['we should ban human cloning because cloning takes away from the unique individuality of a person.', 'human cloning is unnatural and should be banned', 'we should not ban human cloning because it could help with medical research']"
59,58,29,58_scientology_cult_church_members,"['scientology', 'cult', 'church', 'members', 'organization', 'is', 'brainwashes', 'sect', 'cults', 'fact']","['the church of scientology is a dangerous cult that has caused psychological harm to some of its members and has held some members against their will', 'the church of scientology is a cult that is harming society.', 'scientology is a cult and so is dangerous']"
60,59,28,59_cloning_human_could_science,"['cloning', 'human', 'could', 'science', 'medical', 'disease', 'breakthroughs', 'humans', 'cure', 'diseases']","['human cloning could give us a better understanding of the human body thus leading to medical breakthroughs.', ""human cloning could lead to scientific breakthroughs that could solve many of the world's problems."", 'human cloning can give us medical breakthroughs']"
61,60,28,60_missionary_work_missionaries_fortunate,"['missionary', 'work', 'missionaries', 'fortunate', 'third', 'aid', 'those', 'world', 'enrich', 'bring']","['missionary work helps the less fortunate countries  with aid and hope.', 'the missionary work bring the good idea for the people', 'missionary work is important to help educate those in third world countries so they can improve their way of life.']"
62,61,27,61_wikipedia_information_source_provides,"['wikipedia', 'information', 'source', 'provides', 'resource', 'encyclopedia', 'unreliable', 'valuable', 'invaluable', 'reliable']","['wikipedia is an important resource for people looking for information', 'wikipedia is not a reliable source for information and we should not waste money on it', 'wikipedia is a very unreliable source of information. many schools do not allow wikipedia to be used as a valid source for term papers.']"
63,62,27,62_guns_gun_shootings_firearms,"['guns', 'gun', 'shootings', 'firearms', 'hands', 'violence', 'too', 'weapons', 'ownership', 'mass']","['gun violence is out of control and the only solution is to take away guns', 'guns are much too dangerous and often get in the wrong hands', ""Gun violence is a huge problem and there are too many mass shootings.   If people didn't have guns many lives would be saved.  Less suicides would happen too as guns are just too easy to use.""]"
64,63,27,63_whaling_cultures_tradition_part,"['whaling', 'cultures', 'tradition', 'part', 'provides', 'some', 'important', 'many', 'whale', 'income']","['whaling is part of a great number of cultures', ""whaling is an important part of some cultures and provides jobs. you can't take that away from people that rely on it just because you don't like it."", 'whaling provides jobs for many people']"
65,64,27,64_telemarketing_ban_jobs_banning,"['telemarketing', 'ban', 'jobs', 'banning', 'banned', 'it', 'calls', 'products', 'buy', 'if']","['we should not ban telemarketing  since it would eliminate many jobs. it also is an effective way for a company to get much needed leads for their products or services if done correctly.', 'telemarketing is a job for some and banning it would take jobs away.', 'we should not ban telemarketing because it is a way for a company to get business and it also provides people with jobs.']"
66,65,26,65_three_strikes_abolish_laws,"['three', 'strikes', 'abolish', 'laws', 'crime', 'law', 'because', 'we', 'deterrent', 'should']","[""we shouldn't abolish the three-strikes laws because everyone deserves a chance and it's a fair system"", 'we should not abolish the three-strikes laws because they result in reduced crime rates', 'we should  abolish the three-strikes laws because they can put people away for minor crimes']"
67,66,26,66_arms_bear_keep_right,"['arms', 'bear', 'keep', 'right', 'abolish', 'gun', 'abolished', 'guns', 'we', 'shootings']","[""we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun"", 'we should not abolish the right to keep and bear arms because it is a constitutional right to own weapons to protect ourselves.', 'we should abolish the right to keep and bear arms because innocent people get killed']"
68,67,25,67_games_olympic_abolish_athletes,"['games', 'olympic', 'abolish', 'athletes', 'olympics', 'doping', 'together', 'world', 'because', 'cheating']","['we should abolish the olympic games because the pressure placed on athletes can cause mental health issues', 'we should not abolish the olympic games because it is a form of entertainment for many people', ""we shouldn't abolish the olympic games because is important for union of countries of world""]"
69,68,25,68_spaces_safe_abolish_because,"['spaces', 'safe', 'abolish', 'because', 'ptsd', 'universities', 'speech', 'we', 'warnings', 'should']","['We should abolish safe spaces because there are better ways to protect people with ptsd like content warnings, rather than safe spaces.', 'We should not abolish safe spaces because people with PTSD need these spaces to overcome their trauma.', 'we should not abolish safe spaces because they help many people']"
70,69,23,69_devices_media_social_us,"['devices', 'media', 'social', 'us', 'apps', 'humans', 'machines', 'online', 'with', 'technology']","['After a daily 10-hour shift from Monday to Friday most of us prefer to stay at home on the holidays. We surround ourselves with laptops, TV, and mobile and use them in cycles for Netflix, sports, social media, etc. (thinking that we are relaxing) rather than going out. We prefer and are more comfortable with online chatting instead of talking to people for real. There are fewer meaningful relationships nowadays because of all the above factors. We have started preferring isolation.', 'By following friends on social media and not communicating with them privately, we can only know the things they post on their accounts. We may not know much about what is really happening in their lives. That means we will have no meaningful connections with friends. The convenience of contacting people online made us prefer it over meeting them outside.', 'During the covid pandemic time, social media helped people in maintaining their social life.Social media made it possible to stay connected with friends and loved ones all the time. We can easily know what is happening in their lives. It allowed us to communicate with multiple people at the same time by sharing posts.']"
71,70,23,70_cloning_human_unethical_clone,"['cloning', 'human', 'unethical', 'clone', 'nature', 'against', 'could', 'clones', 'copy', 'mistake']","['cloning human beings goes against nature with which we could have serious consequences in the future', 'human cloning in the wrong hands could be very dangerous to society', 'human cloning is unnatural and against the laws of nature']"
72,71,22,71_missionary_work_ban_banned,"['missionary', 'work', 'ban', 'banned', 'because', 'people', 'if', 'should', 'religious', 'we']","[""if we don't ban missionary work, then more people will have jobs."", 'we should ban missionary work to avoid danger to themselves especially if they are doing their missionary work in a dangerous part of the world', 'we should ban missionary work as it could be dangerous']"
73,72,22,72_research_stem_embryonic_cell,"['research', 'stem', 'embryonic', 'cell', 'subsidize', 'subsidized', 'cells', 'funding', 'medical', 'genes']","['we should subsidize embryonic stem cell research because it will help many people as long as it is successfully done.', 'we should subsidize embryonic stem cell research because we can learn so much from it.', 'we should not subsidize embryonic stem cell research. we should not play god.']"
74,73,21,73_parades_pride_cancel_celebrate,"['parades', 'pride', 'cancel', 'celebrate', 'cancelling', 'canceling', 'express', 'they', 'lgbt', 'because']","['we should not cancel pride parades because it is a right in this country to express yourself and they are doing nothing wrong.', 'we should not cancel pride parades because they have the right to celebrate too.', 'we should not cancel pride parades because people should have the right to express what they want, and how they feel about a certain issue.']"
75,74,21,74_trading_algorithmic_ban_algorithms,"['trading', 'algorithmic', 'ban', 'algorithms', 'banned', 'application', 'because', 'hacked', 'computer', 'sector']","['financial trading is already a destructive and unethical sector of the economy and allowing algorithmic trading does not make it any less so.', 'algorithmic trading should be banned because it gives some people an unfair advantage.', 'algorithmic trading is computer based and does not allow for any type of inspiration in trading.']"
76,75,21,75_games_olympic_host_money,"['games', 'olympic', 'host', 'money', 'city', 'waste', 'expensive', 'spent', 'olympics', 'cost']","['the olympic games are a huge waste of money to the host countries. they spend large amounts of money to build places that are never used again.', 'the olympic games are a waste of money and time and should be abolished', 'olympic games cost a lot of money for the host city to organise and the money could be spent better elsewhere']"
77,76,19,76_zoos_abolish_animals_wild,"['zoos', 'abolish', 'animals', 'wild', 'species', 'extinction', 'enclosures', 'should', 'conservation', 'cruel']","[""we should abolish zoos because it's cruel to keep wild animals in small enclosures and spaces just for our amusement."", ""Zoos work as educational centers and are not the cause of the extinction of animals, rather they help that this does not happen, that's why we should not abolish zoos"", 'we should abolish zoos to prevent the cruel confinement of wild animals']"
78,77,18,77_would_decrease_less_crimes,"['would', 'decrease', 'less', 'crimes', 'reduced', 'economy', 'public', 'it', 'reflecting', 'capturing']","['it would save taxpayers from paying for a person to have a room and food for the rest of their natural life if thats their sentence.', 'Less disruption to public life, less road traffic, and less loss to our economy. As all the government staff can be used at a single time, we can also increase vigilance, and factors like black money, booth capturing, etc. can be reduced.', 'It would help people spend less money, which would be good for the economy.']"
79,78,17,78_stem_embryonic_cell_research,"['stem', 'embryonic', 'cell', 'research', 'cells', 'immoral', 'highly', 'unethical', 'religions', 'offensive']","[""embryonic stem cell research is against god's will and should be stopped."", 'embryonic stem cell research is murder', 'embryonic stem cell research is immoral.']"
