,Topic,document,Stance,Conclusion,Argument ID
51,18,We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.,in favor of,We should adopt a multi-party system,A04008
52,10,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished,in favor of,We should abolish intellectual property rights,A04009
53,20,"there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.",against,We should subsidize journalism,A04010
54,8,"cannabis is highly addictive, studies show up to one-in10 users develop dependence over time",against,We should legalize cannabis,A04011
55,11,we should not adopt gender neutral language because were created as male and female,against,We should adopt gender-neutral language,A04013
56,27,whaling is a barbaric practice that destroys majestic animals,in favor of,We should ban whaling,A04014
57,16,executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.,against,We should limit executive compensation,A04016
58,44,zero telerance policied do not address underlying causes for the behaviour that is causing the issue,against,We should adopt a zero-tolerance policy in schools,A04017
59,7,School uniforms are too expensive and many parents can not afford the extra expense.,in favor of,We should abandon the use of school uniform,A04018
60,3,Nuclear weapons should be abolished because they have to potential to cause so much destruction.,in favor of,We should fight for the abolition of nuclear weapons,A04020
61,10,ideas are free thoughts so it's not fair for one person to profit off of it,in favor of,We should abolish intellectual property rights,A05001
62,15,economic sanctions affect poor people more than governments,in favor of,We should end the use of economic sanctions,A05003
63,33,factory farming is bad for the environment and should be banned,in favor of,We should ban factory farming,A05005
64,12,"if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.",in favor of,We should legalize organ trade,A05006
65,72,embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate,in favor of,We should subsidize embryonic stem cell research,A05012
66,35,private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.,in favor of,We should ban private military companies,A05013
67,43,libertarianism fosters a more equitable and efficient society for all,in favor of,We should adopt libertarianism,A05014
68,-1,these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.,in favor of,We should abolish safe spaces,A05015
69,1,the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.,against,We should stop the development of autonomous cars,A05016
70,32,cosmetic surgery is unnecessary and dangerous.,in favor of,We should ban cosmetic surgery,A05017
71,75,the olympic games cause turmoil and a lot of money.,in favor of,We should abolish the Olympic Games,A05018
72,8,Legalizing marijuana would lead to a reduction in gang-related drug violence.,in favor of,We should legalize cannabis,A05021
73,11,we should adopt gender-neutral language because it avoids offending people with gender stereo-types,in favor of,We should adopt gender-neutral language,A05022
74,74,algorithmic trading should be banned as it manipulates the economy to benefit stockholders.,in favor of,We should ban algorithmic trading,A05023
75,63,There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.,against,We should ban whaling,A05027
76,9,the world of show has proven to be full of vices that in the case of children is very harmful,in favor of,We should ban the use of child actors,A05028
77,16,"we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.",in favor of,We should limit executive compensation,A05031
78,50,this research is very controversial and against many religions,against,We should subsidize embryonic stem cell research,A05033
79,29,three is an arbitrary number and may not be appropriate in some instances or for some crimes,in favor of,We should abolish the three-strikes laws,A05034
80,2,the loss of experience and knowledge from mandatory retirement is costly to businesses,in favor of,We should end mandatory retirement,A05036
81,6,student loans set children up to be valuable citizens and the state should support this,in favor of,We should subsidize student loans,A05039
82,4,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population,against,We should legalize sex selection,A05040
83,19,collectivism prevents original thoughts and discourages people from looking for their own ideas,in favor of,We should oppose collectivism,A05041
84,42,missionary work plays on the ignorance of local people to exploit them,in favor of,We should ban missionary work,A05042
85,26,"activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments",in favor of,We should limit judicial activism,A05044
86,30,subsidizing wikipedia can cause it to provide biased information,against,We should subsidize Wikipedia,A05045
87,19,treating everyone as a large group unit is not helpful for people who have different individual needs.,in favor of,We should oppose collectivism,A05047
88,41,fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.,against,We should ban fast food,A05048
89,21,prayer in schools violates a person's right to follow whatever religion they choose.,in favor of,We should prohibit school prayer,A05049
90,36,compulsory voting goes against people's liberties and freedoms.,against,We should introduce compulsory voting,A05050
91,15,economic sanctions can assist in deterring deadly threats against our nation,against,We should end the use of economic sanctions,A05052
92,37,compulsory voting makes for more informed voters,in favor of,We should introduce compulsory voting,A05053
93,-1,"there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.",against,We should adopt libertarianism,A05054
94,30,"subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.",against,We should subsidize Wikipedia,A05057
95,25,pride parades encourage people to claim the rights and freedoms they are entitled to,against,We should cancel pride parades,A05058
96,25,pride parades can show everyone that we tolerate everyone,against,We should cancel pride parades,A05059
97,33,it should be banned so that it doesn't take away our farms and will cause more global warming,in favor of,We should ban factory farming,A05063
98,47,zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.,against,We should abolish zoos,A05064
99,24,cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.,in favor of,We should ban cosmetic surgery for minors,A05067
100,39,targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.,against,We should ban targeted killing,A05068
101,18,the two-party system is cheaper and easier to operate that any multi-party system,against,We should adopt a multi-party system,A05069
102,22,we should adopt atheism because it would be easier than being religious and having so many different beliefs,in favor of,We should adopt atheism,A05070
103,57,human cloning should be banned because it allows designer humans to be grown according to the parents wishes.,in favor of,We should ban human cloning,A05071
104,27,whaling is inhumane and unnecessary and killing the whale population.,in favor of,We should ban whaling,A05073
105,14,an austerity regime will help to reduce the deficit of the country,in favor of,We should adopt an austerity regime,A05074
106,14,people should not have to endure higher taxes to pay for the government's inefficiency.,against,We should adopt an austerity regime,A05075
107,23,there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.,in favor of,We should subsidize space exploration,A05076
108,20,We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.,against,We should subsidize journalism,A05077
109,64,We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.,against,We should ban telemarketing,A05080
110,5,We should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated,against,We should abolish capital punishment,A05081
111,74,algorithmic trading should be banned because it gives some people an unfair advantage.,in favor of,We should ban algorithmic trading,A05082
112,17,legalising prostitution will ensure the safety of both the sex trade worker and client,in favor of,We should legalize prostitution,A05083
113,44,"telemarketing is intrusive, annoying and violates privacy",in favor of,We should ban telemarketing,A05086
114,2,We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.,in favor of,We should end mandatory retirement,A05087
115,7,"if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best",in favor of,We should abandon the use of school uniform,A05088
116,60,missionary work is beneficial for those receiving aid.,against,We should ban missionary work,A05089
117,7,forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.,in favor of,We should abandon the use of school uniform,A05090
118,3,Nuclear weapons can bring about a certain level of respect,against,We should fight for the abolition of nuclear weapons,A05091
119,58,scientology is actually a wealthy cult and members are abused physically and financially.,in favor of,We should ban the Church of Scientology,A05092
120,9,child actors lose the sense of a proper childhood.,in favor of,We should ban the use of child actors,A05093
121,65,we need the three strikes as a deterrent,against,We should abolish the three-strikes laws,A05095
122,21,"a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.",against,We should prohibit school prayer,A05096
123,9,children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.,in favor of,We should adopt a zero-tolerance policy in schools,A05097
124,16,We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.,against,We should limit executive compensation,A05098
125,77,it will decrease the number of crimes and violence on the streets,in favor of,We should abolish the right to keep and bear arms,A05099
126,15,economic sanctions are often a proportional punishment,against,We should end the use of economic sanctions,A06002
127,1,autonomous cars are prohibitively expensive,in favor of,We should stop the development of autonomous cars,A06003
128,7,school uniforms cost a lot and might not be affordable for everyone,in favor of,We should abandon the use of school uniform,A06004
129,2,Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.,against,We should end mandatory retirement,A06005
130,13,a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.,in favor of,We should adopt a zero-tolerance policy in schools,A06008
131,31,"Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.",in favor of,We should abolish safe spaces,A06010
132,15,"economic sanctions are unethical to the economies of smaller, underdeveloped countries.",in favor of,We should end the use of economic sanctions,A06011
133,9,we should ban the use of child actors since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.,in favor of,We should ban the use of child actors,A06015
134,6,we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.,in favor of,We should subsidize student loans,A06017
135,17,prostitution should be legal as it can be controlled & monitored easier & be less dangerous,in favor of,We should legalize prostitution,A06019
136,25,"pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.",against,We should cancel pride parades,A06020
137,25,pride parades allow people to make connections and widen their social circles.,against,We should cancel pride parades,A07001
138,50,people should keep their religion to themselves,in favor of,We should ban missionary work,A07006
139,22,not everybody believes in or practices a religion so we should adopt atheism for them,in favor of,We should adopt atheism,A07007
140,15,"economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less",in favor of,We should end the use of economic sanctions,A07008
141,48,only governments can be trusted with armies so we should ban private military companies.,in favor of,We should ban private military companies,A07009
142,9,it sets a bad example for younger generation and takes them away from the ethics of the society,against,We should legalize prostitution,A07010
143,23,there are much more important things to spend money on; space exploration is a low priority and should not be subsidized,against,We should subsidize space exploration,A07011
144,20,journalism is more important than ever in an era of fake news and social media.,in favor of,We should subsidize journalism,A07012
145,67,we should abolish the olympic games because bring together different nations with radically different governments is dangerous.,in favor of,We should abolish the Olympic Games,A07014
146,33,"factory farming treats animals inhumanely, which is wrong and immoral.",in favor of,We should ban factory farming,A07016
147,21,"we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone",in favor of,We should prohibit school prayer,A07018
148,2,Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.,against,We should end mandatory retirement,A07019
149,45,the olympic games encourage animosity between countries,in favor of,We should abolish the Olympic Games,A07020
150,14,austerity only leads to economic contraction that endangers the chance of reducing the debt.,against,We should adopt an austerity regime,A07021
151,11,"there are far more than two genders today, and thus, gender-neutral language only makes sense.",in favor of,We should adopt gender-neutral language,A07022
152,31,safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.,in favor of,We should abolish safe spaces,A07023
153,5,there are too many historical cases where innocent people have been put to death.,in favor of,We should abolish capital punishment,A07025
154,18,multi-party systems offer voters more choices and more representation.,in favor of,We should adopt a multi-party system,A07026
155,10,we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields,against,We should abolish intellectual property rights,A07031
156,17,with so much sexual freedom these days prostitution should now be legal.,in favor of,We should legalize prostitution,A07032
157,1,they can cause accidents if the equipment fails.,in favor of,We should stop the development of autonomous cars,A07033
158,8,cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.,against,We should legalize cannabis,A07034
159,26,judicial activism relies too heavily upon personal opinion and leads to bias.,in favor of,We should limit judicial activism,A07036
160,87,"we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power",against,We should ban fast food,A07037
161,7,Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.,in favor of,We should abandon the use of school uniform,A07038
162,42,missionaries are intrusive to other countries and very invasive to the culture.,in favor of,We should ban missionary work,A07039
163,-1,cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses,in favor of,We should ban cosmetic surgery,A07043
164,58,the church of scientology is a cult that is harming society.,in favor of,We should ban the Church of Scientology,A07044
165,30,there is no need to subsidize a site that isn't necessary,against,We should subsidize Wikipedia,A07045
166,40,We should not adopt libertarianism because we need the government to provide essential services that are unprofitable.,against,We should adopt libertarianism,A07046
167,6,a person's education should be the responsibility of themselves,against,We should subsidize student loans,A07047
168,55,the right to keep and bear arms is protected by our government and should be like that so people can defend their self.,against,We should abolish the right to keep and bear arms,A07049
169,8,cannabis should be legalized because it is no worse than alchohol.,in favor of,We should legalize cannabis,A07050
170,-1,we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.,against,We should cancel pride parades,A07051
171,28,we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.,against,We should ban algorithmic trading,A07053
172,15,"if we end economic sanctions, then it would lead to a more fair trade market.",in favor of,We should end the use of economic sanctions,A07054
173,7,school uniforms are a good way to keep our kids from looking too sexualized from what they wear,against,We should abandon the use of school uniform,A07055
174,4,gender selection is essentially playing god.,against,We should legalize sex selection,A07057
175,58,"the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.",in favor of,We should ban the Church of Scientology,A07058
176,46,animals in zoos have been repeatedly found to be malnourished and mistreated.,in favor of,We should abolish zoos,A07059
177,12,Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.,in favor of,We should legalize organ trade,A07060
178,55,"the right to bear arms is a fundamental right since the creation of  this country, and should be protected.",against,We should abolish the right to keep and bear arms,A07061
179,1,the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.,against,We should stop the development of autonomous cars,A07062
180,18,adopting a multi-party system leads to the formation weak and unstable coalition governments,against,We should adopt a multi-party system,A07063
181,9,not all tv and movies is going to be adults only we need child actors to shows the world as it is,against,We should ban the use of child actors,A07066
182,26,judicial activism allows for common sense to be applied where necessary,against,We should limit judicial activism,A07067
183,16,executives provide profits to shareholders and should be compensated accordingly,against,We should limit executive compensation,A07068
184,88,it is against certain religious beliefs and can be seen as immoral,against,We should subsidize embryonic stem cell research,A07069
185,4,sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.,in favor of,We should legalize sex selection,A07072
186,9,we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.,against,We should ban the use of child actors,A07073
187,20,Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.,in favor of,We should subsidize journalism,A07074
188,24,We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.,against,We should ban cosmetic surgery for minors,A07075
189,13,"bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.",in favor of,We should adopt a zero-tolerance policy in schools,A07076
190,14,an austerity regime would eliminate the national debt by directing money to where it really needs to go.,in favor of,We should adopt an austerity regime,A07077
191,28,algorithmic trading gives people an unfair speed advantage over the rest of the field.,in favor of,We should ban algorithmic trading,A07079
192,81,if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.,against,We should abolish the three-strikes laws,A07080
193,40,we should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on other people's freedoms.,against,We should adopt libertarianism,A07082
194,3,the abolition of nuclear weapons is a hugely important goal on the path to world peace.,in favor of,We should fight for the abolition of nuclear weapons,A07084
195,36,every individual should be able to choose whether or not they want to vote,against,We should introduce compulsory voting,A07087
196,64,banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.,against,We should ban telemarketing,A07089
197,49,targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm,against,We should ban targeted killing,A07091
198,21,"we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.",in favor of,We should prohibit school prayer,A07092
199,59,"though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.",against,We should ban human cloning,A07093
200,10,"we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive",in favor of,We should abolish intellectual property rights,A07094
201,19,supporting collectivism is important because groups value is most important in the society which we live today.,against,We should oppose collectivism,A07095
202,64,"yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls",in favor of,We should ban telemarketing,A07096
203,63,"whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.",against,We should ban whaling,A07097
204,30,wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized,in favor of,We should subsidize Wikipedia,A07098
205,13,a zero tolerance policy will scare the children into behaving and following the rules.,in favor of,We should adopt a zero-tolerance policy in schools,A08001
206,50,"people have to right to their own religious beliefs, no matter how odd others find it",against,We should ban the Church of Scientology,A08003
207,-1,our country need to adopt the less intervention supported by libertarianism. people need to make their own choice and be responsible for the outcome.,in favor of,We should adopt libertarianism,A08005
208,83,a judge shouldnt be able to show their personal views.,in favor of,We should limit judicial activism,A08006
209,43,libertarianism is the true path to real freedom and autonomy for all,in favor of,We should adopt libertarianism,A08007
210,62,the right to carry firearms is a legal deterrent for politicians with tyrannical or dictatorial tendencies,against,We should abolish the right to keep and bear arms,A08009
211,31,safe spaces are for people who don't like to talk about the issues in a civilized manner,in favor of,We should abolish safe spaces,A08011
212,4,humans don't have the right to play god with genetics,in favor of,We should ban human cloning,A08012
213,62,"Firearms are typically far more dangerous to the owner and his/her family than any intruder, due to misuse, murder, and suicide.",in favor of,We should abolish the right to keep and bear arms,A08013
214,2,"Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier",against,We should end mandatory retirement,A08014
215,8,we should not legalize cannabis then more children will get a hold of it,against,We should legalize cannabis,A08016
216,66,the right to keep and bear arms should be abolished because too many people die from gun violence in america.,in favor of,We should abolish the right to keep and bear arms,A08018
217,7,the school uniform is outdated and takes away individual personalities.,in favor of,We should abandon the use of school uniform,A08019
218,29,three strike laws perpetuate the for profit prison industrial complex and don't actually address the underlying issues driving people to commit crimes,in favor of,We should abolish the three-strikes laws,A08020
219,53,is leading to increased obesity and many health problems.,in favor of,We should ban fast food,A09001
220,8,"as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.",in favor of,We should legalize cannabis,A09002
221,9,we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth,against,We should ban the use of child actors,A09003
222,79,fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.,against,We should ban fast food,A09004
223,38,"people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.",against,We should ban the Church of Scientology,A09005
224,66,we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun,against,We should abolish the right to keep and bear arms,A09006
225,11,"language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary",against,We should adopt gender-neutral language,A09007
226,-1,if people want to use it then it is their choice,against,We should ban algorithmic trading,A09008
227,12,we should not legalize organ trade because then people would be selling their organs just for money,against,We should legalize organ trade,A09009
228,83,judges should follow the letter of the law when making rulings and not make up things based on how they feel.,in favor of,We should limit judicial activism,A09010
229,29,"Three strikes laws often punish those who have been pushed into crime by their socioeconomic background, which is unjust.",in favor of,We should abolish the three-strikes laws,A09011
230,-1,we need to keep our country safe and protected,against,We should fight for the abolition of nuclear weapons,A09012
231,1,autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.,against,We should stop the development of autonomous cars,A09013
232,42,historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.,in favor of,We should ban missionary work,A09014
233,40,libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.,against,We should adopt libertarianism,A09015
234,58,the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.,in favor of,We should ban the Church of Scientology,A09017
235,22,we should not adopt atheism because organized religion instills good morals into people.,against,We should adopt atheism,A09018
236,30,providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information,in favor of,We should subsidize Wikipedia,A09021
237,31,safe spaces only shield people from the realities of the world and thus leave them unprepared.,in favor of,We should abolish safe spaces,A09022
238,9,"the world of acting is a high pressure, extremely stressful place and children should be protected from it.",in favor of,We should ban the use of child actors,A09023
239,27,"if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.",against,We should ban whaling,A09024
240,6,it's the only way most people can afford college,in favor of,We should subsidize student loans,A09025
241,10,intellectual property rights enable people to benefit from what they worked so hard to achieve.,against,We should abolish intellectual property rights,A09026
242,14,we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.,against,We should adopt an austerity regime,A09027
243,11,many people do not feel comfortable with their gender and feel offended when we use inappropriate words,in favor of,We should adopt gender-neutral language,A09028
244,48,private military companies should be banned because it is immoral to make money off of war,in favor of,We should ban private military companies,A09029
245,0,people need to grow up and realise the world is a hard place,in favor of,We should abolish safe spaces,A09030
246,17,Legalizing prostitution would make the profession less dangerous and less hazardous to one's health.,in favor of,We should legalize prostitution,A09031
247,19,"collectivism is a facet of socialism, communism, etc. and eliminates individual worth",in favor of,We should oppose collectivism,A09033
248,-1,The Olympic games provides jobs and is a boost for the economy in the host country.,against,We should abolish the Olympic Games,A09035
249,34,factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.,against,We should ban factory farming,A09036
250,21,"in today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. it should be encouraged in our schools.",against,We should prohibit school prayer,A09037
251,37,we should introduce compulsory voting as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.,in favor of,We should introduce compulsory voting,A09038
252,71,we should not ban missionary work because people have a right to help out others if they chose to do so,against,We should ban missionary work,A09039
